ID_objektu_(PK),Osobni_cislo,Kod_kvalifikace,Datum_ziskani,personel_number
1,PN-000012,CERT-AI-004,2021-07-28,PN-000012
2,PN-000083,CERT-LAW-010,2023-05-08,PN-000083
3,PN-000003,CERT-CS-001,2024-08-29,PN-000003
4,PN-000043,CERT-AI-004,2025-03-10,PN-000043
5,PN-000017,CERT-LAW-010,2021-08-24,PN-000017
6,PN-000027,CERT-PM-002,2021-09-06,PN-000027
7,PN-000098,CERT-ENG-009,2024-04-14,PN-000098
8,PN-000027,CERT-LAW-010,2023-11-12,PN-000027
9,PN-000028,CERT-AI-004,2022-10-21,PN-000028
10,PN-000043,CERT-DS-003,2023-11-11,PN-000043
11,PN-000077,CERT-CS-001,2023-03-23,PN-000077
12,PN-000036,CERT-DS-003,2022-02-20,PN-000036
13,PN-000017,CERT-ENG-009,2023-08-25,PN-000017
14,PN-000033,CERT-DS-003,2025-08-05,PN-000033
15,PN-000015,CERT-CS-001,2024-04-13,PN-000015
16,PN-000017,CERT-CS-001,2021-06-15,PN-000017
17,PN-000046,CERT-AI-004,2025-04-22,PN-000046
18,PN-000076,CERT-FIN-006,2024-08-20,PN-000076
19,PN-000003,CERT-DS-003,2024-09-22,PN-000003
20,PN-000034,CERT-CS-001,2022-08-01,PN-000034
21,PN-000017,CERT-MKT-007,2022-05-08,PN-000017
22,PN-000068,CERT-PM-002,2021-09-02,PN-000068
23,PN-000096,CERT-PM-002,2020-11-23,PN-000096
24,PN-000061,CERT-HR-008,2024-06-29,PN-000061
25,PN-000100,CERT-FIN-006,2024-06-24,PN-000100
26,PN-000066,CERT-LAW-010,2025-09-28,PN-000066
27,PN-000014,CERT-HR-008,2024-09-10,PN-000014
28,PN-000065,CERT-AI-004,2023-06-03,PN-000065
29,PN-000079,CERT-CS-001,2021-05-31,PN-000079
30,PN-000094,CERT-ENG-009,2024-01-04,PN-000094
31,PN-000039,CERT-HR-008,2025-02-02,PN-000039
32,PN-000083,CERT-CS-001,2023-06-03,PN-000083
33,PN-000008,CERT-HR-008,2021-11-16,PN-000008
34,PN-000052,CERT-MKT-007,2022-10-02,PN-000052
35,PN-000088,CERT-PM-002,2021-09-09,PN-000088
36,PN-000063,CERT-HR-008,2025-08-26,PN-000063
37,PN-000010,CERT-PM-002,2025-06-30,PN-000010
38,PN-000042,CERT-LAW-010,2025-06-23,PN-000042
39,PN-000019,CERT-PM-002,2023-11-17,PN-000019
40,PN-000017,CERT-SEC-005,2023-04-29,PN-000017
41,PN-000080,CERT-LAW-010,2021-06-10,PN-000080
42,PN-000071,CERT-FIN-006,2022-09-12,PN-000071
43,PN-000049,CERT-LAW-010,2025-10-23,PN-000049
44,PN-000068,CERT-SEC-005,2024-11-30,PN-000068
45,PN-000059,CERT-ENG-009,2022-01-29,PN-000059
46,PN-000078,CERT-MKT-007,2022-02-01,PN-000078
