ID_objektu_(PK),Osobni_cislo,Kod_kvalifikace,Datum_ziskani,Datum_ukonceni,personel_number
1,PN-000068,COMP-ENG-909,2022-04-20,2024-05-16,PN-000068
2,PN-000025,COMP-FIN-606,2019-02-14,2019-09-04,PN-000025
3,PN-000045,COMP-DS-303,2022-10-29,2024-07-21,PN-000045
4,PN-000031,COMP-PM-202,2020-10-12,2022-02-10,PN-000031
5,PN-000019,COMP-SEC-505,2022-11-25,2023-11-02,PN-000019
6,PN-000026,COMP-DS-303,2020-06-22,2021-03-07,PN-000026
7,PN-000078,COMP-DS-303,2022-10-03,2024-03-08,PN-000078
8,PN-000098,COMP-PM-202,2024-06-15,2025-10-16,PN-000098
9,PN-000023,COMP-HR-808,2018-12-09,2023-04-02,PN-000023
10,PN-000060,COMP-LAW-010,2022-04-05,2022-08-15,PN-000060
11,PN-000098,COMP-LAW-010,2022-02-08,2024-01-07,PN-000098
12,PN-000058,COMP-LAW-010,2019-09-05,2021-11-04,PN-000058
13,PN-000083,COMP-LAW-010,2019-04-18,2020-11-25,PN-000083
14,PN-000042,COMP-FIN-606,2020-08-04,2022-11-29,PN-000042
15,PN-000020,COMP-HR-808,2022-02-21,2023-04-10,PN-000020
16,PN-000009,COMP-HR-808,2024-10-13,2025-09-02,PN-000009
17,PN-000057,COMP-SEC-505,2022-01-20,2024-08-11,PN-000057
18,PN-000036,COMP-LAW-010,2022-03-18,2025-08-19,PN-000036
19,PN-000008,COMP-FIN-606,2019-07-03,2025-02-07,PN-000008
20,PN-000065,COMP-PM-202,2020-06-20,2025-04-14,PN-000065
21,PN-000040,COMP-HR-808,2023-05-03,2023-09-24,PN-000040
22,PN-000058,COMP-CS-101,2020-07-28,2021-09-09,PN-000058
23,PN-000008,COMP-FIN-606,2020-12-09,2024-05-03,PN-000008
24,PN-000037,COMP-PM-202,2023-12-31,2024-12-13,PN-000037
25,PN-000083,COMP-PM-202,2020-05-22,2025-05-18,PN-000083
26,PN-000079,COMP-LAW-010,2019-03-10,2023-06-08,PN-000079
27,PN-000065,COMP-MKT-707,2023-11-10,2023-12-12,PN-000065
28,PN-000060,COMP-LAW-010,2020-11-18,2021-07-15,PN-000060
29,PN-000071,COMP-CS-101,2024-10-04,2024-12-09,PN-000071
30,PN-000058,COMP-LAW-010,2021-07-14,2024-08-08,PN-000058
31,PN-000084,COMP-AI-404,2022-03-31,2022-08-26,PN-000084
32,PN-000042,COMP-LAW-010,2024-07-20,2025-06-21,PN-000042
33,PN-000061,COMP-ENG-909,2019-10-11,2019-12-30,PN-000061
34,PN-000020,COMP-CS-101,2021-02-04,2023-09-28,PN-000020
35,PN-000058,COMP-PM-202,2021-06-17,2021-08-23,PN-000058
36,PN-000044,COMP-PM-202,2021-01-25,2025-07-24,PN-000044
37,PN-000065,COMP-DS-303,2024-09-18,2024-10-05,PN-000065
38,PN-000006,COMP-AI-404,2021-01-10,2024-05-03,PN-000006
39,PN-000091,COMP-HR-808,2022-11-19,2023-12-11,PN-000091
40,PN-000057,COMP-ENG-909,2022-03-29,2025-06-05,PN-000057
41,PN-000067,COMP-LAW-010,2024-09-21,2025-08-04,PN-000067
42,PN-000021,COMP-FIN-606,2024-06-08,2024-10-11,PN-000021
43,PN-000048,COMP-SEC-505,2019-11-10,2024-09-04,PN-000048
44,PN-000050,COMP-MKT-707,2019-12-11,2022-05-23,PN-000050
45,PN-000100,COMP-FIN-606,2019-12-16,2025-06-08,PN-000100
46,PN-000087,COMP-LAW-010,2023-07-30,2024-07-11,PN-000087
47,PN-000007,COMP-FIN-606,2022-11-25,2025-02-03,PN-000007
48,PN-000009,COMP-FIN-606,2020-05-15,2021-03-31,PN-000009
49,PN-000013,COMP-ENG-909,2023-02-02,2024-02-27,PN-000013
50,PN-000087,COMP-MKT-707,2019-02-11,2022-04-20,PN-000087
51,PN-000037,COMP-SEC-505,2020-01-30,2025-05-30,PN-000037
52,PN-000093,COMP-LAW-010,2020-12-24,2025-01-01,PN-000093
53,PN-000020,COMP-FIN-606,2024-02-10,2024-07-03,PN-000020
54,PN-000011,COMP-LAW-010,2022-11-04,2024-01-20,PN-000011
55,PN-000085,COMP-DS-303,2020-07-21,2020-12-03,PN-000085
56,PN-000045,COMP-SEC-505,2023-07-10,2024-05-08,PN-000045
57,PN-000084,COMP-MKT-707,2021-12-09,2024-08-14,PN-000084
58,PN-000017,COMP-LAW-010,2023-12-11,2024-08-01,PN-000017
59,PN-000091,COMP-PM-202,2019-01-18,2025-01-15,PN-000091
60,PN-000040,COMP-ENG-909,2020-06-13,2023-08-09,PN-000040
61,PN-000049,COMP-FIN-606,2024-10-12,2024-10-27,PN-000049
62,PN-000017,COMP-ENG-909,2022-06-18,2023-08-24,PN-000017
63,PN-000012,COMP-MKT-707,2023-08-08,2024-08-05,PN-000012
64,PN-000066,COMP-FIN-606,2024-10-14,2024-11-29,PN-000066
65,PN-000003,COMP-FIN-606,2024-04-11,2024-07-31,PN-000003
66,PN-000040,COMP-DS-303,2019-02-24,2022-01-31,PN-000040
67,PN-000028,COMP-FIN-606,2022-01-01,2025-02-17,PN-000028
68,PN-000099,COMP-HR-808,2023-01-01,2025-09-17,PN-000099
69,PN-000025,COMP-AI-404,2023-04-21,2023-10-23,PN-000025
70,PN-000018,COMP-DS-303,2021-06-20,2025-08-28,PN-000018
71,PN-000010,COMP-SEC-505,2024-05-28,2025-04-29,PN-000010
72,PN-000013,COMP-ENG-909,2022-11-11,2023-03-28,PN-000013
73,PN-000099,COMP-ENG-909,2024-04-13,2025-02-03,PN-000099
74,PN-000095,COMP-ENG-909,2022-11-19,2023-11-11,PN-000095
75,PN-000005,COMP-FIN-606,2023-01-24,2024-08-17,PN-000005
76,PN-000099,COMP-LAW-010,2020-01-13,2023-12-03,PN-000099
77,PN-000017,COMP-LAW-010,2021-02-26,2024-09-10,PN-000017
78,PN-000049,COMP-DS-303,2019-12-05,2023-04-26,PN-000049
79,PN-000021,COMP-DS-303,2021-04-26,2025-02-14,PN-000021
80,PN-000089,COMP-LAW-010,2020-09-14,2021-10-16,PN-000089
81,PN-000022,COMP-HR-808,2023-08-06,2024-12-25,PN-000022
