ID,personal_number,ID_Q,Název_Q
1,PN-000064,Q-7750,Digital Marketing Specialist
2,PN-000062,Q-1999,Master of Business Administration
3,PN-000036,Q-7275,Project Management Professional (PMP)
4,PN-000054,Q-4267,Digital Marketing Specialist
5,PN-000032,Q-9907,Bachelor of Science in Computer Science
6,PN-000049,Q-6883,Financial Analyst Certification
7,PN-000070,Q-8940,Google Cloud Professional
8,PN-000073,Q-9231,Google Cloud Professional
9,PN-000050,Q-5430,Project Management Professional (PMP)
10,PN-000004,Q-6224,Human Resources Management Certificate
11,PN-000029,Q-1480,AWS Certified Solutions Architect
12,PN-000008,Q-8728,Digital Marketing Specialist
13,PN-000046,Q-4813,Project Management Professional (PMP)
14,PN-000013,Q-5060,Certified Data Scientist
15,PN-000035,Q-9743,Bachelor of Science in Computer Science
16,PN-000098,Q-4594,Human Resources Management Certificate
17,PN-000050,Q-6813,Project Management Professional (PMP)
18,PN-000023,Q-4875,Human Resources Management Certificate
19,PN-000041,Q-6878,Human Resources Management Certificate
20,PN-000004,Q-6761,Human Resources Management Certificate
21,PN-000073,Q-3328,Human Resources Management Certificate
22,PN-000025,Q-9064,Digital Marketing Specialist
23,PN-000040,Q-3876,Financial Analyst Certification
24,PN-000005,Q-2478,Bachelor of Science in Computer Science
25,PN-000030,Q-4584,Bachelor of Science in Computer Science
26,PN-000068,Q-8831,Bachelor of Science in Computer Science
27,PN-000043,Q-4300,Project Management Professional (PMP)
28,PN-000044,Q-3907,Google Cloud Professional
29,PN-000008,Q-1359,Project Management Professional (PMP)
30,PN-000076,Q-3320,Master of Business Administration
31,PN-000068,Q-6978,Master of Business Administration
32,PN-000048,Q-7481,Human Resources Management Certificate
33,PN-000013,Q-6514,AWS Certified Solutions Architect
34,PN-000042,Q-3235,Project Management Professional (PMP)
35,PN-000094,Q-8157,Financial Analyst Certification
36,PN-000084,Q-6198,Project Management Professional (PMP)
37,PN-000091,Q-6846,Certified Data Scientist
38,PN-000086,Q-3872,Certified Information Security Manager
39,PN-000040,Q-5825,Project Management Professional (PMP)
40,PN-000023,Q-1029,Human Resources Management Certificate
41,PN-000051,Q-1530,Project Management Professional (PMP)
42,PN-000078,Q-6213,Human Resources Management Certificate
43,PN-000029,Q-2705,Financial Analyst Certification
44,PN-000019,Q-6425,Master of Business Administration
45,PN-000031,Q-6682,Google Cloud Professional
46,PN-000022,Q-2453,Google Cloud Professional
47,PN-000058,Q-1186,AWS Certified Solutions Architect
48,PN-000027,Q-5088,Master of Business Administration
49,PN-000045,Q-5205,Master of Business Administration
50,PN-000093,Q-1020,Bachelor of Science in Computer Science
51,PN-000050,Q-8179,Certified Information Security Manager
52,PN-000022,Q-7783,Financial Analyst Certification
53,PN-000049,Q-6754,Digital Marketing Specialist
54,PN-000049,Q-2661,Financial Analyst Certification
55,PN-000074,Q-4695,Project Management Professional (PMP)
56,PN-000058,Q-2207,Bachelor of Science in Computer Science
57,PN-000038,Q-1328,Google Cloud Professional
58,PN-000034,Q-2715,Master of Business Administration
59,PN-000044,Q-3787,Certified Information Security Manager
60,PN-000021,Q-2228,Digital Marketing Specialist
