personal_number,"personal_start_month(2023,2024,2025)",personal_start_month.profession_id,personal_start_month.planned_profession_id,personal_start_month.planned_position_id,personal_start_month.basic_branch_education_group_id,personal_start_month.basic_branch_education_category_id,personal_start_month.field_of_study_id,personal_start_month.field_of_study_name,personal_start_month.field_of_study_code_laps,data_pocet_a_kvalifikace_od_2013_do_srpen_2025,data_metod_aktualizace_do_roku_2025
PN-000001,2025,PROF-214,PL-PROF-125,POS-ANALYST-41,GRP-BUS,CAT-GRAD,FIELD-2679,Marketing,CODE-189-D,Historical qualification data from 2013 to August 2025 for person PN-000001,Automated data synchronization with HR systems
PN-000002,2023,PROF-130,PL-PROF-195,POS-ENGINEER-39,GRP-SCI,CAT-UNDERGRAD,FIELD-4257,Marketing,CODE-529-B,Historical qualification data from 2013 to August 2025 for person PN-000002,Automated data synchronization with HR systems
PN-000003,2024,PROF-703,PL-PROF-384,POS-MANAGER-30,GRP-LAW,CAT-DOCTORAL,FIELD-5552,Electrical Engineering,CODE-320-C,Historical qualification data from 2013 to August 2025 for person PN-000003,Automated data synchronization with HR systems
PN-000004,2023,PROF-194,PL-PROF-489,POS-MANAGER-55,GRP-MED,CAT-DOCTORAL,FIELD-1711,Finance,CODE-649-A,Historical qualification data from 2013 to August 2025 for person PN-000004,Automated data synchronization with HR systems
PN-000005,2024,PROF-180,PL-PROF-665,POS-ANALYST-90,GRP-SCI,CAT-DOCTORAL,FIELD-4150,Business Administration,CODE-146-B,Historical qualification data from 2013 to August 2025 for person PN-000005,Automated data synchronization with HR systems
PN-000006,2024,PROF-181,PL-PROF-975,POS-ENGINEER-22,GRP-LAW,CAT-DOCTORAL,FIELD-8428,Cybersecurity,CODE-266-C,Historical qualification data from 2013 to August 2025 for person PN-000006,Automated data synchronization with HR systems
PN-000007,2024,PROF-314,PL-PROF-786,POS-ANALYST-99,GRP-TECH,CAT-GRAD,FIELD-9751,Data Analytics,CODE-267-D,Historical qualification data from 2013 to August 2025 for person PN-000007,Automated data synchronization with HR systems
PN-000008,2024,PROF-376,PL-PROF-755,POS-SPECIALIST-38,GRP-MED,CAT-UNDERGRAD,FIELD-4752,Computer Science,CODE-924-C,Historical qualification data from 2013 to August 2025 for person PN-000008,Automated data synchronization with HR systems
PN-000009,2024,PROF-374,PL-PROF-167,POS-ENGINEER-82,GRP-MED,CAT-GRAD,FIELD-9179,Artificial Intelligence,CODE-758-D,Historical qualification data from 2013 to August 2025 for person PN-000009,Automated data synchronization with HR systems
PN-000010,2023,PROF-371,PL-PROF-242,POS-ENGINEER-81,GRP-SCI,CAT-DOCTORAL,FIELD-8019,Human Resources,CODE-508-C,Historical qualification data from 2013 to August 2025 for person PN-000010,Automated data synchronization with HR systems
PN-000011,2023,PROF-241,PL-PROF-621,POS-CONSULTANT-21,GRP-TECH,CAT-UNDERGRAD,FIELD-3504,Electrical Engineering,CODE-911-D,Historical qualification data from 2013 to August 2025 for person PN-000011,Automated data synchronization with HR systems
PN-000012,2025,PROF-165,PL-PROF-494,POS-CONSULTANT-86,GRP-LAW,CAT-DOCTORAL,FIELD-1188,Business Administration,CODE-798-C,Historical qualification data from 2013 to August 2025 for person PN-000012,Automated data synchronization with HR systems
PN-000013,2025,PROF-448,PL-PROF-214,POS-ANALYST-65,GRP-BUS,CAT-CERTIFICATION,FIELD-1053,Project Management,CODE-612-B,Historical qualification data from 2013 to August 2025 for person PN-000013,Automated data synchronization with HR systems
PN-000014,2025,PROF-208,PL-PROF-991,POS-ANALYST-91,GRP-SCI,CAT-GRAD,FIELD-3504,Cybersecurity,CODE-880-B,Historical qualification data from 2013 to August 2025 for person PN-000014,Automated data synchronization with HR systems
PN-000015,2025,PROF-897,PL-PROF-643,POS-MANAGER-86,GRP-MED,CAT-CERTIFICATION,FIELD-1319,Business Administration,CODE-471-C,Historical qualification data from 2013 to August 2025 for person PN-000015,Automated data synchronization with HR systems
PN-000016,2023,PROF-159,PL-PROF-346,POS-SPECIALIST-20,GRP-TECH,CAT-CERTIFICATION,FIELD-2133,Marketing,CODE-884-B,Historical qualification data from 2013 to August 2025 for person PN-000016,Automated data synchronization with HR systems
PN-000017,2023,PROF-775,PL-PROF-586,POS-SPECIALIST-31,GRP-MED,CAT-CERTIFICATION,FIELD-4470,Marketing,CODE-873-B,Historical qualification data from 2013 to August 2025 for person PN-000017,Automated data synchronization with HR systems
PN-000018,2025,PROF-419,PL-PROF-508,POS-ANALYST-66,GRP-SCI,CAT-CERTIFICATION,FIELD-2982,Data Analytics,CODE-330-A,Historical qualification data from 2013 to August 2025 for person PN-000018,Automated data synchronization with HR systems
PN-000019,2024,PROF-121,PL-PROF-702,POS-SPECIALIST-39,GRP-SCI,CAT-GRAD,FIELD-1117,Business Administration,CODE-824-A,Historical qualification data from 2013 to August 2025 for person PN-000019,Automated data synchronization with HR systems
PN-000020,2023,PROF-169,PL-PROF-132,POS-ANALYST-19,GRP-SCI,CAT-GRAD,FIELD-5562,Finance,CODE-319-B,Historical qualification data from 2013 to August 2025 for person PN-000020,Automated data synchronization with HR systems
PN-000021,2025,PROF-684,PL-PROF-690,POS-CONSULTANT-41,GRP-LAW,CAT-CERTIFICATION,FIELD-4119,Business Administration,CODE-199-D,Historical qualification data from 2013 to August 2025 for person PN-000021,Automated data synchronization with HR systems
PN-000022,2024,PROF-533,PL-PROF-520,POS-CONSULTANT-16,GRP-TECH,CAT-UNDERGRAD,FIELD-7596,Cybersecurity,CODE-919-A,Historical qualification data from 2013 to August 2025 for person PN-000022,Automated data synchronization with HR systems
PN-000023,2023,PROF-296,PL-PROF-294,POS-SPECIALIST-67,GRP-BUS,CAT-CERTIFICATION,FIELD-4006,Project Management,CODE-573-B,Historical qualification data from 2013 to August 2025 for person PN-000023,Automated data synchronization with HR systems
PN-000024,2023,PROF-553,PL-PROF-927,POS-SPECIALIST-22,GRP-TECH,CAT-UNDERGRAD,FIELD-2528,Data Analytics,CODE-270-D,Historical qualification data from 2013 to August 2025 for person PN-000024,Automated data synchronization with HR systems
PN-000025,2024,PROF-592,PL-PROF-318,POS-CONSULTANT-17,GRP-BUS,CAT-CERTIFICATION,FIELD-1035,Artificial Intelligence,CODE-371-D,Historical qualification data from 2013 to August 2025 for person PN-000025,Automated data synchronization with HR systems
PN-000026,2024,PROF-533,PL-PROF-813,POS-SPECIALIST-94,GRP-LAW,CAT-GRAD,FIELD-4111,Project Management,CODE-322-A,Historical qualification data from 2013 to August 2025 for person PN-000026,Automated data synchronization with HR systems
PN-000027,2025,PROF-853,PL-PROF-655,POS-MANAGER-50,GRP-TECH,CAT-UNDERGRAD,FIELD-8811,Marketing,CODE-973-B,Historical qualification data from 2013 to August 2025 for person PN-000027,Automated data synchronization with HR systems
PN-000028,2023,PROF-620,PL-PROF-182,POS-ENGINEER-18,GRP-SCI,CAT-UNDERGRAD,FIELD-4853,Artificial Intelligence,CODE-222-B,Historical qualification data from 2013 to August 2025 for person PN-000028,Automated data synchronization with HR systems
PN-000029,2025,PROF-708,PL-PROF-140,POS-SPECIALIST-20,GRP-LAW,CAT-DOCTORAL,FIELD-5272,Data Analytics,CODE-785-C,Historical qualification data from 2013 to August 2025 for person PN-000029,Automated data synchronization with HR systems
PN-000030,2023,PROF-371,PL-PROF-505,POS-ENGINEER-95,GRP-MED,CAT-CERTIFICATION,FIELD-6180,Business Administration,CODE-109-D,Historical qualification data from 2013 to August 2025 for person PN-000030,Automated data synchronization with HR systems
PN-000031,2025,PROF-676,PL-PROF-202,POS-MANAGER-78,GRP-BUS,CAT-DOCTORAL,FIELD-3170,Cybersecurity,CODE-170-B,Historical qualification data from 2013 to August 2025 for person PN-000031,Automated data synchronization with HR systems
PN-000032,2024,PROF-391,PL-PROF-261,POS-CONSULTANT-79,GRP-MED,CAT-UNDERGRAD,FIELD-5905,Business Administration,CODE-999-B,Historical qualification data from 2013 to August 2025 for person PN-000032,Automated data synchronization with HR systems
PN-000033,2024,PROF-218,PL-PROF-209,POS-SPECIALIST-29,GRP-MED,CAT-DOCTORAL,FIELD-4450,Cybersecurity,CODE-308-C,Historical qualification data from 2013 to August 2025 for person PN-000033,Automated data synchronization with HR systems
PN-000034,2025,PROF-600,PL-PROF-357,POS-MANAGER-21,GRP-LAW,CAT-DOCTORAL,FIELD-1722,Computer Science,CODE-441-B,Historical qualification data from 2013 to August 2025 for person PN-000034,Automated data synchronization with HR systems
PN-000035,2025,PROF-368,PL-PROF-265,POS-CONSULTANT-80,GRP-LAW,CAT-UNDERGRAD,FIELD-2832,Business Administration,CODE-807-B,Historical qualification data from 2013 to August 2025 for person PN-000035,Automated data synchronization with HR systems
PN-000036,2025,PROF-136,PL-PROF-954,POS-ANALYST-84,GRP-SCI,CAT-GRAD,FIELD-8041,Electrical Engineering,CODE-142-C,Historical qualification data from 2013 to August 2025 for person PN-000036,Automated data synchronization with HR systems
PN-000037,2024,PROF-915,PL-PROF-981,POS-MANAGER-55,GRP-BUS,CAT-GRAD,FIELD-2684,Cybersecurity,CODE-898-D,Historical qualification data from 2013 to August 2025 for person PN-000037,Automated data synchronization with HR systems
PN-000038,2025,PROF-867,PL-PROF-258,POS-ENGINEER-30,GRP-BUS,CAT-CERTIFICATION,FIELD-1406,Electrical Engineering,CODE-854-C,Historical qualification data from 2013 to August 2025 for person PN-000038,Automated data synchronization with HR systems
PN-000039,2024,PROF-921,PL-PROF-785,POS-ENGINEER-44,GRP-BUS,CAT-UNDERGRAD,FIELD-7267,Computer Science,CODE-979-D,Historical qualification data from 2013 to August 2025 for person PN-000039,Automated data synchronization with HR systems
PN-000040,2023,PROF-304,PL-PROF-936,POS-CONSULTANT-54,GRP-MED,CAT-GRAD,FIELD-4652,Computer Science,CODE-775-B,Historical qualification data from 2013 to August 2025 for person PN-000040,Automated data synchronization with HR systems
PN-000041,2024,PROF-436,PL-PROF-385,POS-MANAGER-45,GRP-MED,CAT-CERTIFICATION,FIELD-9785,Cybersecurity,CODE-128-A,Historical qualification data from 2013 to August 2025 for person PN-000041,Automated data synchronization with HR systems
PN-000042,2024,PROF-282,PL-PROF-694,POS-ANALYST-14,GRP-TECH,CAT-CERTIFICATION,FIELD-6663,Cybersecurity,CODE-546-A,Historical qualification data from 2013 to August 2025 for person PN-000042,Automated data synchronization with HR systems
PN-000043,2024,PROF-690,PL-PROF-294,POS-ANALYST-15,GRP-LAW,CAT-UNDERGRAD,FIELD-9518,Marketing,CODE-803-B,Historical qualification data from 2013 to August 2025 for person PN-000043,Automated data synchronization with HR systems
PN-000044,2024,PROF-541,PL-PROF-171,POS-ANALYST-89,GRP-MED,CAT-UNDERGRAD,FIELD-5920,Marketing,CODE-416-D,Historical qualification data from 2013 to August 2025 for person PN-000044,Automated data synchronization with HR systems
PN-000045,2024,PROF-512,PL-PROF-813,POS-ANALYST-80,GRP-BUS,CAT-GRAD,FIELD-7888,Artificial Intelligence,CODE-793-B,Historical qualification data from 2013 to August 2025 for person PN-000045,Automated data synchronization with HR systems
PN-000046,2025,PROF-682,PL-PROF-408,POS-CONSULTANT-80,GRP-TECH,CAT-DOCTORAL,FIELD-5700,Data Analytics,CODE-540-C,Historical qualification data from 2013 to August 2025 for person PN-000046,Automated data synchronization with HR systems
PN-000047,2024,PROF-552,PL-PROF-552,POS-ENGINEER-75,GRP-LAW,CAT-GRAD,FIELD-2389,Project Management,CODE-627-C,Historical qualification data from 2013 to August 2025 for person PN-000047,Automated data synchronization with HR systems
PN-000048,2023,PROF-938,PL-PROF-869,POS-ENGINEER-96,GRP-MED,CAT-GRAD,FIELD-4262,Electrical Engineering,CODE-125-A,Historical qualification data from 2013 to August 2025 for person PN-000048,Automated data synchronization with HR systems
PN-000049,2023,PROF-586,PL-PROF-725,POS-MANAGER-68,GRP-LAW,CAT-GRAD,FIELD-7291,Finance,CODE-509-B,Historical qualification data from 2013 to August 2025 for person PN-000049,Automated data synchronization with HR systems
PN-000050,2023,PROF-771,PL-PROF-804,POS-MANAGER-23,GRP-LAW,CAT-GRAD,FIELD-3881,Marketing,CODE-575-A,Historical qualification data from 2013 to August 2025 for person PN-000050,Automated data synchronization with HR systems
PN-000051,2025,PROF-355,PL-PROF-968,POS-MANAGER-68,GRP-BUS,CAT-CERTIFICATION,FIELD-9702,Marketing,CODE-709-C,Historical qualification data from 2013 to August 2025 for person PN-000051,Automated data synchronization with HR systems
PN-000052,2024,PROF-727,PL-PROF-934,POS-SPECIALIST-64,GRP-SCI,CAT-CERTIFICATION,FIELD-3607,Finance,CODE-560-C,Historical qualification data from 2013 to August 2025 for person PN-000052,Automated data synchronization with HR systems
PN-000053,2023,PROF-960,PL-PROF-752,POS-ANALYST-76,GRP-LAW,CAT-GRAD,FIELD-5499,Finance,CODE-179-C,Historical qualification data from 2013 to August 2025 for person PN-000053,Automated data synchronization with HR systems
PN-000054,2023,PROF-378,PL-PROF-443,POS-ANALYST-79,GRP-TECH,CAT-GRAD,FIELD-3471,Data Analytics,CODE-492-B,Historical qualification data from 2013 to August 2025 for person PN-000054,Automated data synchronization with HR systems
PN-000055,2025,PROF-319,PL-PROF-165,POS-CONSULTANT-62,GRP-MED,CAT-CERTIFICATION,FIELD-7812,Computer Science,CODE-311-D,Historical qualification data from 2013 to August 2025 for person PN-000055,Automated data synchronization with HR systems
PN-000056,2024,PROF-888,PL-PROF-698,POS-MANAGER-83,GRP-LAW,CAT-CERTIFICATION,FIELD-1096,Cybersecurity,CODE-405-D,Historical qualification data from 2013 to August 2025 for person PN-000056,Automated data synchronization with HR systems
PN-000057,2024,PROF-651,PL-PROF-865,POS-SPECIALIST-87,GRP-BUS,CAT-CERTIFICATION,FIELD-4595,Project Management,CODE-546-D,Historical qualification data from 2013 to August 2025 for person PN-000057,Automated data synchronization with HR systems
PN-000058,2023,PROF-498,PL-PROF-444,POS-CONSULTANT-31,GRP-LAW,CAT-GRAD,FIELD-9751,Computer Science,CODE-503-A,Historical qualification data from 2013 to August 2025 for person PN-000058,Automated data synchronization with HR systems
PN-000059,2023,PROF-758,PL-PROF-538,POS-ENGINEER-69,GRP-BUS,CAT-UNDERGRAD,FIELD-5262,Artificial Intelligence,CODE-435-B,Historical qualification data from 2013 to August 2025 for person PN-000059,Automated data synchronization with HR systems
PN-000060,2024,PROF-434,PL-PROF-445,POS-CONSULTANT-45,GRP-LAW,CAT-DOCTORAL,FIELD-2341,Finance,CODE-119-A,Historical qualification data from 2013 to August 2025 for person PN-000060,Automated data synchronization with HR systems
PN-000061,2024,PROF-329,PL-PROF-765,POS-MANAGER-93,GRP-TECH,CAT-UNDERGRAD,FIELD-5051,Data Analytics,CODE-959-A,Historical qualification data from 2013 to August 2025 for person PN-000061,Automated data synchronization with HR systems
PN-000062,2025,PROF-256,PL-PROF-344,POS-ENGINEER-70,GRP-TECH,CAT-GRAD,FIELD-8619,Project Management,CODE-885-C,Historical qualification data from 2013 to August 2025 for person PN-000062,Automated data synchronization with HR systems
PN-000063,2023,PROF-720,PL-PROF-721,POS-MANAGER-30,GRP-MED,CAT-UNDERGRAD,FIELD-1420,Project Management,CODE-689-D,Historical qualification data from 2013 to August 2025 for person PN-000063,Automated data synchronization with HR systems
PN-000064,2024,PROF-832,PL-PROF-303,POS-MANAGER-85,GRP-BUS,CAT-UNDERGRAD,FIELD-5941,Human Resources,CODE-924-A,Historical qualification data from 2013 to August 2025 for person PN-000064,Automated data synchronization with HR systems
PN-000065,2025,PROF-901,PL-PROF-142,POS-ANALYST-78,GRP-LAW,CAT-DOCTORAL,FIELD-2129,Marketing,CODE-763-C,Historical qualification data from 2013 to August 2025 for person PN-000065,Automated data synchronization with HR systems
PN-000066,2023,PROF-969,PL-PROF-530,POS-CONSULTANT-23,GRP-LAW,CAT-DOCTORAL,FIELD-8532,Electrical Engineering,CODE-545-B,Historical qualification data from 2013 to August 2025 for person PN-000066,Automated data synchronization with HR systems
