28.08.2025                                                                                            Dynamische Listenausgabe                                                                                                    1

Testovací režim

	Var.plánu	Typ obj.	ID objektu	Subtyp	Platí od	Platí do	Jazyk	Øetìzec

	01	ZP	  90003176	0001	01.01.1800	31.12.9999	DE	Veranstaltungen
	01	ZP	  90003177	0001	01.01.1800	31.12.9999	DE	Ziele und Prioritäten
	01	ZP	  90003178	0001	01.01.1800	31.12.9999	DE	organisatorische Änderungen
	01	ZP	  90003180	0001	01.01.1800	31.12.9999	DE	Stellenplan
	01	ZP	  90003181	0001	01.01.1800	31.12.9999	DE	interne Unterschriftsberechtigungen
	01	ZP	  90003188	0001	01.01.1800	31.12.9999	DE	Organisationsstruktur
	01	ZP	  90003193	0001	01.01.1800	31.12.9999	DE	Stellenbeschreibungen
	01	ZP	  90003254	0001	01.01.1800	31.12.9999	DE	Beziehung zu externen Institutionen und Organisationen
	01	ZP	  90003266	0001	01.01.1800	31.12.9999	DE	Zeitmanagement
	01	ZP	  90003272	0001	01.01.1800	31.12.9999	DE	Tätigkeit auf dem Gebiet der Schutzmarken
	01	ZP	  90003273	0001	01.01.1800	31.12.9999	DE	Mitglieder des Projektteams
	01	ZP	  90003276	0001	01.01.1800	31.12.9999	DE	Informierung und Motivierung der Mitarbeiter
	01	ZP	  90003278	0001	01.01.1800	31.12.9999	DE	Einweisung der Mitarbeiter des jeweiligen Bereiches
	01	ZP	  90003280	0001	01.01.1800	31.12.9999	DE	bereichsübergreifende Aktivitäten und Aufgaben für Auslandsprojekte
	01	ZP	  90003281	0001	01.01.1800	31.12.9999	DE	Personaleinsatz in außerordentlichen Situationen
	01	ZP	  90003289	0001	01.01.1800	31.12.9999	DE	Erfüllung der Aufgaben aus Tagungen
	01	ZP	  90003291	0001	01.01.1800	31.12.9999	DE	Unterschriftsberechtigungen
	01	ZP	  90003292	0001	01.01.1800	31.12.9999	DE	unterstellte Mitarbeiter
	01	ZP	  90003293	0001	01.01.1800	31.12.9999	DE	den unterstellten Mitarbeitern die Arbeitsaufgaben
	01	ZP	  90003294	0001	01.01.1800	31.12.9999	DE	Arbeit der unterstellten Mitarbeiter
	01	ZP	  90003295	0001	01.01.1800	31.12.9999	DE	Arbeits- und technologische Disziplin
	01	ZP	  90003303	0001	01.01.1800	31.12.9999	DE	Zusammenarbeit mit externen Organisationen
	01	ZP	  90003305	0001	01.01.1800	31.12.9999	DE	Zusammenarbeit mit Entwicklungspartnern
	01	ZP	  90003307	0001	01.01.1800	31.12.9999	DE	Arbeiterstruktur
	01	ZP	  90003308	0001	01.01.1800	31.12.9999	DE	anvertraute Arbeitsprozesse
	01	ZP	  90003310	0001	01.01.1800	31.12.9999	DE	Aufgaben
	01	ZP	  90003311	0001	01.01.1800	31.12.9999	DE	Aufgaben für Projektteammitglieder
	01	ZP	  90003321	0001	01.01.1800	31.12.9999	DE	Arbeitszeit der Mitarbeiter
	01	ZP	  90003322	0001	01.01.1800	31.12.9999	DE	Schichtverlängerungen und Zusatzschichten
	01	ZP	  90003328	0001	01.01.1800	31.12.9999	DE	verwaltungstechnische Agenda in Bezug auf Tätigkeiten vertraulicher 
Beschaffenheit
	01	ZP	  90003329	0001	01.01.1800	31.12.9999	DE	verwaltungstechnische Arbeit und Bestandsaufnahme der Bücher
	01	ZP	  90003330	0001	01.01.1800	31.12.9999	DE	Agenda des Leiters
	01	ZP	  90003333	0001	01.01.1800	31.12.9999	DE	Verhandlungsagenda
	01	ZP	  90003334	0001	01.01.1800	31.12.9999	DE	Agenda, welche die Dispositionen für eine weitere Auswertung betrifft
	01	ZP	  90003335	0001	01.01.1800	31.12.9999	DE	Agenda, die mit Niederschriften aus Besprechungen verbunden ist, und 
Aufgabenkontrolle
	01	ZP	  90003336	0001	01.01.1800	31.12.9999	DE	Aktivitäten zur Freigabe der Vorstandsvorlagen einschl. Protokolle
	01	ZP	  90003338	0001	01.01.1800	31.12.9999	DE	Aktualisierung der Infotafeln des Fachbereiches
	01	ZP	  90003339	0001	01.01.1800	31.12.9999	DE	Aktualisierung der Wandbretter
	01	ZP	  90003342	0001	01.01.1800	31.12.9999	DE	Analysen und Statistiken der Ergebnisse
