VP	TO	 ID obj.	ITyp	STyp	S	Zaèátek	Konec	VarPole	ÈZá	H	Var.pole uživatel.dat
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30000373			T 30000373                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30000374			T 30000374                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30000376			T 30000376                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30000377			T 30000377                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30000379			T 30000379                                     000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30000381			T 30000381                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30000382			T 30000382                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30000383			T 30000383                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30001541			T 30001541                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30006765			T 30006765                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30011982			T 30011982                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30033533			T 30033533                                     000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30033534			T 30033534                                     000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30033535			T 30033535                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30033536			T 30033536                                     000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30033537			T 30033537                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30033538			T 30033538                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30033539			T 30033539                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.04.2014	31.12.2014	T 30033540			T 30033540                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.01.2015	30.06.2020	T 30001541			T 30001541                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.01.2015	30.06.2020	T 30006765			T 30006765                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.01.2015	30.06.2020	T 30011982			T 30011982                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.01.2015	30.06.2020	T 30030803			T 30030803                                     #000000000000000000000000000000000000000000000000000000000000000000000000HLPC
01	S	20000502	1001	B007	1	01.01.2015	30.06.2020	T 30033533			T 30033533                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
01	S	20000502	1001	B007	1	01.01.2015	30.06.2020	T 30033534			T 30033534                                     #000000000000000000000000000000000000000000000000000000000000000000000000VEPC
