28.08.2025                                         Dynamische Listenausgabe                                                 1

ZobrazenÌ datab·ze pers.pl·nov·nÌ

	VP	TO	 ID obj.	ITyp	STyp	S	ZaË·tek	Konec	VarPole	»Z·	H	Var.pole uûivatel.dat

	01	ZP	90003176	1000		1	01.01.1800	31.12.9999	C			PRED        akce                                    00000000
	01	ZP	90003176	1000		1	01.01.1800	31.12.9999	D			PRED        Veranstaltungen                         00000000
	01	ZP	90003176	1000		1	01.01.1800	31.12.9999	E			PRED        Events                                  00000000
	01	ZP	90003177	1000		1	01.01.1800	31.12.9999	C			PRED        cÌle a priority                         00000000
	01	ZP	90003177	1000		1	01.01.1800	31.12.9999	D			PRED        Ziele und Priorit‰ten                   00000000
	01	ZP	90003177	1000		1	01.01.1800	31.12.9999	E			PRED        Goals and priorities                    00000000
	01	ZP	90003178	1000		1	01.01.1800	31.12.9999	C			PRED        organizaËnÌ ˙pravy                      00000000
	01	ZP	90003178	1000		1	01.01.1800	31.12.9999	D			PRED        organisatorische ƒnderungen             00000000
	01	ZP	90003178	1000		1	01.01.1800	31.12.9999	E			PRED        Organisational changes                  00000000
	01	ZP	90003180	1000		1	01.01.1800	31.12.9999	C			PRED        funkËnÌ schema                          00000000
	01	ZP	90003180	1000		1	01.01.1800	31.12.9999	D			PRED        Stellenplan                             00000000
	01	ZP	90003180	1000		1	01.01.1800	31.12.9999	E			PRED        Functionality diagram                   00000000
	01	ZP	90003181	1000		1	01.01.1800	31.12.9999	C			PRED        internÌ podpisov· opr·vnÏnÌ             00000000
	01	ZP	90003181	1000		1	01.01.1800	31.12.9999	D			PRED        interne Unterschriftsberechtigungen     00000000
	01	ZP	90003181	1000		1	01.01.1800	31.12.9999	E			PRED        Internal signing authorisations         00000000
	01	ZP	90003188	1000		1	01.01.1800	31.12.9999	C			PRED        organizaËnÌ strukturu                   00000000
	01	ZP	90003188	1000		1	01.01.1800	31.12.9999	D			PRED        Organisationsstruktur                   00000000
	01	ZP	90003188	1000		1	01.01.1800	31.12.9999	E			PRED        Organisational structure                00000000
	01	ZP	90003193	1000		1	01.01.1800	31.12.9999	C			PRED        popisy pr·ce FM                         00000000
	01	ZP	90003193	1000		1	01.01.1800	31.12.9999	D			PRED        Stellenbeschreibungen                   00000000
	01	ZP	90003193	1000		1	01.01.1800	31.12.9999	E			PRED        FM job descriptions                     00000000
	01	ZP	90003254	1000		1	01.01.1800	31.12.9999	C			PRED        styk s externÌmi institucemi a organizac00000000
	01	ZP	90003254	1000		1	01.01.1800	31.12.9999	D			PRED        Beziehung zu externen Institutionen und 00000000
	01	ZP	90003254	1000		1	01.01.1800	31.12.9999	E			PRED        Interactions with third-party institutio00000000
	01	ZP	90003266	1000		1	01.01.1800	31.12.9999	C			PRED        Ëasov˝ management                       00000000
	01	ZP	90003266	1000		1	01.01.1800	31.12.9999	D			PRED        Zeitmanagement                          00000000
	01	ZP	90003266	1000		1	01.01.1800	31.12.9999	E			PRED        Time management                         00000000
	01	ZP	90003272	1000		1	01.01.1800	31.12.9999	C			PRED        Ëinnosti v oblasti ochrann˝ch zn·mek    00000000
	01	ZP	90003272	1000		1	01.01.1800	31.12.9999	D			PRED        T‰tigkeit auf dem Gebiet der Schutzmarke00000000
	01	ZP	90003272	1000		1	01.01.1800	31.12.9999	E			PRED        Trademark operations                    00000000
	01	ZP	90003273	1000		1	01.01.1800	31.12.9999	C			PRED        Ëleny projektovÈho t˝mu                 00000000
	01	ZP	90003273	1000		1	01.01.1800	31.12.9999	D			PRED        Mitglieder des Projektteams             00000000
	01	ZP	90003273	1000		1	01.01.1800	31.12.9999	E			PRED        Project team members                    00000000
	01	ZP	90003276	1000		1	01.01.1800	31.12.9999	C			PRED        informov·nÌ a motivov·nÌ zamÏstnanc˘    00000000
	01	ZP	90003276	1000		1	01.01.1800	31.12.9999	D			PRED        Informierung und Motivierung der Mitarbe00000000
	01	ZP	90003276	1000		1	01.01.1800	31.12.9999	E			PRED        Informing and motivating employees      00000000
	01	ZP	90003278	1000		1	01.01.1800	31.12.9999	C			PRED        instrukt·û zamÏstnanc˘ danÈ oblasti     00000000
	01	ZP	90003278	1000		1	01.01.1800	31.12.9999	D			PRED        Einweisung der Mitarbeiter des jeweilige00000000
	01	ZP	90003278	1000		1	01.01.1800	31.12.9999	E			PRED        Instructions to staff in the area concer00000000
	01	ZP	90003280	1000		1	01.01.1800	31.12.9999	C			PRED        mezi˙tvarovÈ aktivity a ˙koly pro zahran00000000
	01	ZP	90003280	1000		1	01.01.1800	31.12.9999	D			PRED        bereichs¸bergreifende Aktivit‰ten und Au00000000
	01	ZP	90003280	1000		1	01.01.1800	31.12.9999	E			PRED        mezi˙tvarovÈ aktivity a ˙koly pro zahran00000000
	01	ZP	90003281	1000		1	01.01.1800	31.12.9999	C			PRED        nasazenÌ person·lu v mimo¯·dn˝ch situacÌ00000000
	01	ZP	90003281	1000		1	01.01.1800	31.12.9999	D			PRED        Personaleinsatz in auﬂerordentlichen Sit00000000
	01	ZP	90003281	1000		1	01.01.1800	31.12.9999	E			PRED        Use of staff in emergencies             00000000
	01	ZP	90003289	1000		1	01.01.1800	31.12.9999	C			PRED        plnÏnÌ ˙kol˘ ze zased·nÌ                00000000
	01	ZP	90003289	1000		1	01.01.1800	31.12.9999	D			PRED        Erf¸llung der Aufgaben aus Tagungen     00000000
	01	ZP	90003289	1000		1	01.01.1800	31.12.9999	E			PRED        Tasks arising from meetings             00000000
	01	ZP	90003291	1000		1	01.01.1800	31.12.9999	C			PRED        podpisov· opr·vnÏnÌ                     00000000
	01	ZP	90003291	1000		1	01.01.1800	31.12.9999	D			PRED        Unterschriftsberechtigungen             00000000
	01	ZP	90003291	1000		1	01.01.1800	31.12.9999	E			PRED        Signing authorisations                  00000000
	01	ZP	90003292	1000		1	01.01.1800	31.12.9999	C			PRED        pod¯ÌzenÈ zamÏstnance                   00000000
	01	ZP	90003292	1000		1	01.01.1800	31.12.9999	D			PRED        unterstellte Mitarbeiter                00000000
	01	ZP	90003292	1000		1	01.01.1800	31.12.9999	E			PRED        Subordinate staff                       00000000
	01	ZP	90003293	1000		1	01.01.1800	31.12.9999	C			PRED        pod¯Ìzen˝m zamÏstnanc˘m pracovnÌ ˙koly  00000000
	01	ZP	90003293	1000		1	01.01.1800	31.12.9999	D			PRED        den unterstellten Mitarbeitern die Arbei00000000
	01	ZP	90003293	1000		1	01.01.1800	31.12.9999	E			PRED        Tasks to subordinate staff              00000000
	01	ZP	90003294	1000		1	01.01.1800	31.12.9999	C			PRED        pr·ci pod¯Ìzen˝ch zamÏstnanc˘           00000000
	01	ZP	90003294	1000		1	01.01.1800	31.12.9999	D			PRED        Arbeit der unterstellten Mitarbeiter    00000000
	01	ZP	90003294	1000		1	01.01.1800	31.12.9999	E			PRED        Work by subordinate staff               00000000
	01	ZP	90003295	1000		1	01.01.1800	31.12.9999	C			PRED        pracovnÌ a technologickou k·zeÚ         00000000
	01	ZP	90003295	1000		1	01.01.1800	31.12.9999	D			PRED        Arbeits- und technologische Disziplin   00000000
	01	ZP	90003295	1000		1	01.01.1800	31.12.9999	E			PRED        Operational and technological compliance00000000
	01	ZP	90003303	1000		1	01.01.1800	31.12.9999	C			PRED        spolupr·ci s externÌmi organizacemi     00000000
	01	ZP	90003303	1000		1	01.01.1800	31.12.9999	D			PRED        Zusammenarbeit mit externen Organisation00000000
	01	ZP	90003303	1000		1	01.01.1800	31.12.9999	E			PRED        Cooperation with third-party organisatio00000000
	01	ZP	90003305	1000		1	01.01.1800	31.12.9999	C			PRED        spolupr·ci s v˝vojov˝mi partnery        00000000
	01	ZP	90003305	1000		1	01.01.1800	31.12.9999	D			PRED        Zusammenarbeit mit Entwicklungspartnern 00000000
	01	ZP	90003305	1000		1	01.01.1800	31.12.9999	E			PRED        Cooperation with development partners   00000000
	01	ZP	90003307	1000		1	01.01.1800	31.12.9999	C			PRED        strukturu dÏlnÌk˘                       00000000
	01	ZP	90003307	1000		1	01.01.1800	31.12.9999	D			PRED        Arbeiterstruktur                        00000000
	01	ZP	90003307	1000		1	01.01.1800	31.12.9999	E			PRED        Blue collar staff structure             00000000
	01	ZP	90003308	1000		1	01.01.1800	31.12.9999	C			PRED        svÏ¯enÈ pracovnÌ procesy                00000000
	01	ZP	90003308	1000		1	01.01.1800	31.12.9999	D			PRED        anvertraute Arbeitsprozesse             00000000
	01	ZP	90003308	1000		1	01.01.1800	31.12.9999	E			PRED        Delegated work processes                00000000
	01	ZP	90003310	1000		1	01.01.1800	31.12.9999	C			PRED        ˙koly                                   00000000
	01	ZP	90003310	1000		1	01.01.1800	31.12.9999	D			PRED        Aufgaben                                00000000
	01	ZP	90003310	1000		1	01.01.1800	31.12.9999	E			PRED        Tasks                                   00000000
	01	ZP	90003311	1000		1	01.01.1800	31.12.9999	C			PRED        ˙koly Ëlen˘m projektovÈho t˝mu          00000000
	01	ZP	90003311	1000		1	01.01.1800	31.12.9999	D			PRED        Aufgaben f¸r Projektteammitglieder      00000000
	01	ZP	90003311	1000		1	01.01.1800	31.12.9999	E			PRED        Tasks to project team members           00000000
	01	ZP	90003321	1000		1	01.01.1800	31.12.9999	C			PRED        pracovnÌ dobu zamÏstnanc˘               00000000
	01	ZP	90003321	1000		1	01.01.1800	31.12.9999	D			PRED        Arbeitszeit der Mitarbeiter             00000000
	01	ZP	90003321	1000		1	01.01.1800	31.12.9999	E			PRED        Employee working time                   00000000
	01	ZP	90003322	1000		1	01.01.1800	31.12.9999	C			PRED        prodlouûenÈ a mimo¯·dnÈ smÏny           00000000
	01	ZP	90003322	1000		1	01.01.1800	31.12.9999	D			PRED        Schichtverl‰ngerungen und Zusatzschichte00000000
	01	ZP	90003322	1000		1	01.01.1800	31.12.9999	E			PRED        Extended and additional shifts          00000000
	01	ZP	90003328	1000		1	01.01.1800	31.12.9999	C			PRED        administrativnÌ agendu se z¯etelem na Ëi00000000
	01	ZP	90003328	1000		1	01.01.1800	31.12.9999	D			PRED        verwaltungstechnische Agenda in Bezug au00000000
	01	ZP	90003328	1000		1	01.01.1800	31.12.9999	E			PRED        administrativnÌ agendu se z¯etelem na Ëi00000000
	01	ZP	90003329	1000		1	01.01.1800	31.12.9999	C			PRED        administrativnÌ pr·ce a inventuru kniûnÌ00000000
	01	ZP	90003329	1000		1	01.01.1800	31.12.9999	D			PRED        verwaltungstechnische Arbeit und Bestand00000000
	01	ZP	90003329	1000		1	01.01.1800	31.12.9999	E			PRED        administrativnÌ pr·ce a inventuru kniûnÌ00000000
	01	ZP	90003330	1000		1	01.01.1800	31.12.9999	C			PRED        administrativu vedoucÌho                00000000
	01	ZP	90003330	1000		1	01.01.1800	31.12.9999	D			PRED        Agenda des Leiters                      00000000
	01	ZP	90003330	1000		1	01.01.1800	31.12.9999	E			PRED        Manager¥s administrative work           00000000
	01	ZP	90003333	1000		1	01.01.1800	31.12.9999	C			PRED        agendu jedn·nÌ                          00000000
	01	ZP	90003333	1000		1	01.01.1800	31.12.9999	D			PRED        Verhandlungsagenda                      00000000
	01	ZP	90003333	1000		1	01.01.1800	31.12.9999	E			PRED        Meeting agenda                          00000000
	01	ZP	90003334	1000		1	01.01.1800	31.12.9999	C			PRED        agendu t˝kajÌcÌ se dispozic pro dalöÌ vy00000000
	01	ZP	90003334	1000		1	01.01.1800	31.12.9999	D			PRED        Agenda, welche die Dispositionen f¸r ein00000000
	01	ZP	90003334	1000		1	01.01.1800	31.12.9999	E			PRED        agendu t˝kajÌcÌ se dispozic pro dalöÌ vy00000000
	01	ZP	90003335	1000		1	01.01.1800	31.12.9999	C			PRED        agendu z·pis˘ z†porad a kontrolu ˙kol˘  00000000
	01	ZP	90003335	1000		1	01.01.1800	31.12.9999	D			PRED        Agenda, die mit Niederschriften aus Besp00000000
	01	ZP	90003335	1000		1	01.01.1800	31.12.9999	E			PRED        Meeting reports and task complet. check 00000000
	01	ZP	90003336	1000		1	01.01.1800	31.12.9999	C			PRED        aktivity k odsouhlasenÌ p¯edloh do p¯eds00000000
	01	ZP	90003336	1000		1	01.01.1800	31.12.9999	D			PRED        Aktivit‰ten zur Freigabe der Vorstandsvo00000000
	01	ZP	90003336	1000		1	01.01.1800	31.12.9999	E			PRED        Activities for approvals of templ. for t00000000
	01	ZP	90003338	1000		1	01.01.1800	31.12.9999	C			PRED        aktualizaci informaËnÌch panel˘ ˙tvaru  00000000
	01	ZP	90003338	1000		1	01.01.1800	31.12.9999	D			PRED        Aktualisierung der Infotafeln des Fachbe00000000
	01	ZP	90003338	1000		1	01.01.1800	31.12.9999	E			PRED        Dept. info panel updates                00000000
	01	ZP	90003339	1000		1	01.01.1800	31.12.9999	C			PRED        aktualizaci n·stÏnek                    00000000
