28.08.2025                                         Dynamische Listenausgabe                                                 1

Zobrazení databáze pers.plánování

	VP	TO	 ID obj.	ITyp	STyp	S	Zaèátek	Konec	VarPole	ÈZá	H	Var.pole uživatel.dat

	01	ZS	90003041	1000		1	01.01.1800	31.12.9999	C			SLOV        Analyzuje                               00000000
	01	ZS	90003041	1000		1	01.01.1800	31.12.9999	D			SLOV        Analysiert:                             00000000
	01	ZS	90003041	1000		1	01.01.1800	31.12.9999	E			SLOV        Analyses                                00000000
	01	ZS	90003042	1000		1	01.01.1800	31.12.9999	C			SLOV        Ukládá                                  00000000
	01	ZS	90003042	1000		1	01.01.1800	31.12.9999	D			SLOV        Speichert:                              00000000
	01	ZS	90003042	1000		1	01.01.1800	31.12.9999	E			SLOV        Saves                                   00000000
	01	ZS	90003043	1000		1	01.01.1800	31.12.9999	C			SLOV        Dohlíží na                              00000000
	01	ZS	90003043	1000		1	01.01.1800	31.12.9999	D			SLOV        Überwacht:                              00000000
	01	ZS	90003043	1000		1	01.01.1800	31.12.9999	E			SLOV        Supervises                              00000000
	01	ZS	90003044	1000		1	01.01.1800	31.12.9999	C			SLOV        Doporuèuje                              00000000
	01	ZS	90003044	1000		1	01.01.1800	31.12.9999	D			SLOV        Empfiehlt:                              00000000
	01	ZS	90003044	1000		1	01.01.1800	31.12.9999	E			SLOV        Recommends                              00000000
	01	ZS	90003045	1000		1	01.01.1800	31.12.9999	C			SLOV        Eviduje                                 00000000
	01	ZS	90003045	1000		1	01.01.1800	31.12.9999	D			SLOV        Erfasst:                                00000000
	01	ZS	90003045	1000		1	01.01.1800	31.12.9999	E			SLOV        Records                                 00000000
	01	ZS	90003047	1000		1	01.01.1800	31.12.9999	C			SLOV        Informuje o                             00000000
	01	ZS	90003047	1000		1	01.01.1800	31.12.9999	D			SLOV        Informiert über:                        00000000
	01	ZS	90003047	1000		1	01.01.1800	31.12.9999	E			SLOV        Informs about                           00000000
	01	ZS	90003048	1000		1	01.01.1800	31.12.9999	C			SLOV        Kontroluje                              00000000
	01	ZS	90003048	1000		1	01.01.1800	31.12.9999	D			SLOV        Kontrolliert:                           00000000
	01	ZS	90003048	1000		1	01.01.1800	31.12.9999	E			SLOV        Checks                                  00000000
	01	ZS	90003049	1000		1	01.01.1800	31.12.9999	C			SLOV        Koordinuje                              00000000
	01	ZS	90003049	1000		1	01.01.1800	31.12.9999	D			SLOV        Koordiniert:                            00000000
	01	ZS	90003049	1000		1	01.01.1800	31.12.9999	E			SLOV        Coordinates                             00000000
	01	ZS	90003200	1000		1	01.01.1800	31.12.9999	C			SLOV        Metodicky øídí                          00000000
	01	ZS	90003200	1000		1	01.01.1800	31.12.9999	D			SLOV        Methodisch leitet:                      00000000
	01	ZS	90003200	1000		1	01.01.1800	31.12.9999	E			SLOV        Methodically manages                    00000000
	01	ZS	90003201	1000		1	01.01.1800	31.12.9999	C			SLOV        Navrhuje                                00000000
	01	ZS	90003201	1000		1	01.01.1800	31.12.9999	D			SLOV        Schlägt vor:                            00000000
	01	ZS	90003201	1000		1	01.01.1800	31.12.9999	E			SLOV        Suggests                                00000000
	01	ZS	90003202	1000		1	01.01.1800	31.12.9999	C			SLOV        Optimalizuje                            00000000
	01	ZS	90003202	1000		1	01.01.1800	31.12.9999	D			SLOV        Optimiert:                              00000000
	01	ZS	90003202	1000		1	01.01.1800	31.12.9999	E			SLOV        Optimizes                               00000000
	01	ZS	90003203	1000		1	01.01.1800	31.12.9999	C			SLOV        Organizuje                              00000000
	01	ZS	90003203	1000		1	01.01.1800	31.12.9999	D			SLOV        Organisiert:                            00000000
	01	ZS	90003203	1000		1	01.01.1800	31.12.9999	E			SLOV        Organizes                               00000000
	01	ZS	90003204	1000		1	01.01.1800	31.12.9999	C			SLOV        Ovìøuje                                 00000000
	01	ZS	90003204	1000		1	01.01.1800	31.12.9999	D			SLOV        Überprüft:                              00000000
	01	ZS	90003204	1000		1	01.01.1800	31.12.9999	E			SLOV        Verifies                                00000000
	01	ZS	90003205	1000		1	01.01.1800	31.12.9999	C			SLOV        Plánuje                                 00000000
	01	ZS	90003205	1000		1	01.01.1800	31.12.9999	D			SLOV        Plant:                                  00000000
	01	ZS	90003205	1000		1	01.01.1800	31.12.9999	E			SLOV        Plans                                   00000000
	01	ZS	90003206	1000		1	01.01.1800	31.12.9999	C			SLOV        Poskytuje                               00000000
	01	ZS	90003206	1000		1	01.01.1800	31.12.9999	D			SLOV        Gewährt:                                00000000
	01	ZS	90003206	1000		1	01.01.1800	31.12.9999	E			SLOV        Provides                                00000000
	01	ZS	90003207	1000		1	01.01.1800	31.12.9999	C			SLOV        Projednává                              00000000
	01	ZS	90003207	1000		1	01.01.1800	31.12.9999	D			SLOV        Verhandelt:                             00000000
	01	ZS	90003207	1000		1	01.01.1800	31.12.9999	E			SLOV        Discusses                               00000000
	01	ZS	90003208	1000		1	01.01.1800	31.12.9999	C			SLOV        Provádí                                 00000000
	01	ZS	90003208	1000		1	01.01.1800	31.12.9999	D			SLOV        Führt durch:                            00000000
	01	ZS	90003208	1000		1	01.01.1800	31.12.9999	E			SLOV        Performs                                00000000
	01	ZS	90003209	1000		1	01.01.1800	31.12.9999	C			SLOV        Pøedává                                 00000000
	01	ZS	90003209	1000		1	01.01.1800	31.12.9999	D			SLOV        Übergibt:                               00000000
	01	ZS	90003209	1000		1	01.01.1800	31.12.9999	E			SLOV        Hands over                              00000000
	01	ZS	90003210	1000		1	01.01.1800	31.12.9999	C			SLOV        Pøejímá                                 00000000
	01	ZS	90003210	1000		1	01.01.1800	31.12.9999	D			SLOV        Übernimmt:                              00000000
	01	ZS	90003210	1000		1	01.01.1800	31.12.9999	E			SLOV        Receives                                00000000
	01	ZS	90003211	1000		1	01.01.1800	31.12.9999	C			SLOV        Øídí                                    00000000
	01	ZS	90003211	1000		1	01.01.1800	31.12.9999	D			SLOV        Leitet:                                 00000000
	01	ZS	90003211	1000		1	01.01.1800	31.12.9999	E			SLOV        Manages                                 00000000
	01	ZS	90003212	1000		1	01.01.1800	31.12.9999	C			SLOV        Schvaluje                               00000000
	01	ZS	90003212	1000		1	01.01.1800	31.12.9999	D			SLOV        Genehmigt:                              00000000
