28.08.2025                                         Dynamische Listenausgabe                                                 1

Zobrazení databáze pers.plánování

	VP	TO	 ID obj.	ITyp	STyp	S	Zaèátek	Konec	VarPole	ÈZá	H	Var.pole uživatel.dat

	01	ZX	90003227	1000		1	01.01.1800	31.12.9999	C			SPEC        B2B Portál                              00000000
	01	ZX	90003227	1000		1	01.01.1800	31.12.9999	D			SPEC        B2B Portal                              00000000
	01	ZX	90003227	1000		1	01.01.1800	31.12.9999	E			SPEC        B2B Portal                              00000000
	01	ZX	90003228	1000		1	01.01.1800	31.12.9999	C			SPEC        Day Communique                          00000000
	01	ZX	90003228	1000		1	01.01.1800	31.12.9999	D			SPEC        Day Communique                          00000000
	01	ZX	90003228	1000		1	01.01.1800	31.12.9999	E			SPEC        Day Communique                          00000000
	01	ZX	90003234	1000		1	01.01.1800	31.12.9999	C			SPEC        IS AVON                                 00000000
	01	ZX	90003234	1000		1	01.01.1800	31.12.9999	D			SPEC        IS AVON                                 00000000
	01	ZX	90003234	1000		1	01.01.1800	31.12.9999	E			SPEC        IS AVON                                 00000000
	01	ZX	90003237	1000		1	01.01.1800	31.12.9999	C			SPEC        IS BEON                                 00000000
	01	ZX	90003237	1000		1	01.01.1800	31.12.9999	D			SPEC        IS BEON                                 00000000
	01	ZX	90003237	1000		1	01.01.1800	31.12.9999	E			SPEC        IS BEON                                 00000000
	01	ZX	90003238	1000		1	01.01.1800	31.12.9999	C			SPEC        IS BESSY                                00000000
	01	ZX	90003238	1000		1	01.01.1800	31.12.9999	D			SPEC        IS BESSY                                00000000
	01	ZX	90003238	1000		1	01.01.1800	31.12.9999	E			SPEC        IS BESSY                                00000000
	01	ZX	90003242	1000		1	01.01.1800	31.12.9999	C			SPEC        IS BW                                   00000000
	01	ZX	90003242	1000		1	01.01.1800	31.12.9999	D			SPEC        IS BW                                   00000000
	01	ZX	90003242	1000		1	01.01.1800	31.12.9999	E			SPEC        IS BW                                   00000000
	01	ZX	90003243	1000		1	01.01.1800	31.12.9999	C			SPEC        IS CAD                                  00000000
	01	ZX	90003243	1000		1	01.01.1800	31.12.9999	D			SPEC        IS CAD                                  00000000
	01	ZX	90003243	1000		1	01.01.1800	31.12.9999	E			SPEC        IS CAD                                  00000000
	01	ZX	90003248	1000		1	01.01.1800	31.12.9999	C			SPEC        IS CATIA                                00000000
	01	ZX	90003248	1000		1	01.01.1800	31.12.9999	D			SPEC        IS CATIA                                00000000
	01	ZX	90003248	1000		1	01.01.1800	31.12.9999	E			SPEC        IS CATIA                                00000000
	01	ZX	90011259	1000		1	01.01.1800	31.12.9999	C			SPEC        IS DMS                                  00000000
	01	ZX	90011259	1000		1	01.01.1800	31.12.9999	D			SPEC        IS DMS                                  00000000
	01	ZX	90011259	1000		1	01.01.1800	31.12.9999	E			SPEC        IS DMS                                  00000000
	01	ZX	90011262	1000		1	01.01.1800	31.12.9999	C			SPEC        IS EBP                                  00000000
	01	ZX	90011262	1000		1	01.01.1800	31.12.9999	D			SPEC        IS EBP                                  00000000
	01	ZX	90011262	1000		1	01.01.1800	31.12.9999	E			SPEC        IS EBP                                  00000000
	01	ZX	90011277	1000		1	01.01.1800	31.12.9999	C			SPEC        IS HRIS                                 00000000
	01	ZX	90011277	1000		1	01.01.1800	31.12.9999	D			SPEC        IS HRIS                                 00000000
	01	ZX	90011277	1000		1	01.01.1800	31.12.9999	E			SPEC        IS HRIS                                 00000000
	01	ZX	90011278	1000		1	01.01.1800	31.12.9999	C			SPEC        IS ICEM                                 00000000
	01	ZX	90011278	1000		1	01.01.1800	31.12.9999	D			SPEC        IS ICEM                                 00000000
	01	ZX	90011278	1000		1	01.01.1800	31.12.9999	E			SPEC        IS ICEM                                 00000000
	01	ZX	90011279	1000		1	01.01.1800	31.12.9999	C			SPEC        IS IDIS                                 00000000
	01	ZX	90011279	1000		1	01.01.1800	31.12.9999	D			SPEC        IS IDIS                                 00000000
	01	ZX	90011279	1000		1	01.01.1800	31.12.9999	E			SPEC        IS IDIS                                 00000000
	01	ZX	90011289	1000		1	01.01.1800	31.12.9999	C			SPEC        IS KVS                                  00000000
	01	ZX	90011289	1000		1	01.01.1800	31.12.9999	D			SPEC        IS KVS                                  00000000
	01	ZX	90011289	1000		1	01.01.1800	31.12.9999	E			SPEC        IS KVS                                  00000000
	01	ZX	90011328	1000		1	01.01.1800	31.12.9999	C			SPEC        IS SAP                                  00000000
	01	ZX	90011328	1000		1	01.01.1800	31.12.9999	D			SPEC        IS SAP                                  00000000
	01	ZX	90011328	1000		1	01.01.1800	31.12.9999	E			SPEC        IS SAP                                  00000000
	01	ZX	90011332	1000		1	01.01.1800	31.12.9999	C			SPEC        IS SAP HR                               00000000
	01	ZX	90011332	1000		1	01.01.1800	31.12.9999	D			SPEC        IS SAP HR                               00000000
	01	ZX	90011332	1000		1	01.01.1800	31.12.9999	E			SPEC        IS SAP HR                               00000000
	01	ZX	90011349	1000		1	01.01.1800	31.12.9999	C			SPEC        IS VDS                                  00000000
	01	ZX	90011349	1000		1	01.01.1800	31.12.9999	D			SPEC        IS VDS                                  00000000
	01	ZX	90011349	1000		1	01.01.1800	31.12.9999	E			SPEC        IS VDS                                  00000000
	01	ZX	90011352	1000		1	01.01.1800	31.12.9999	C			SPEC        IS WS KVP                               00000000
	01	ZX	90011352	1000		1	01.01.1800	31.12.9999	D			SPEC        IS WS KVP                               00000000
	01	ZX	90011352	1000		1	01.01.1800	31.12.9999	E			SPEC        IS WS KVP                               00000000
	01	ZX	90011358	1000		1	01.01.1800	31.12.9999	C			SPEC        IS PPS                                  00000000
	01	ZX	90011358	1000		1	01.01.1800	31.12.9999	D			SPEC        IS PPS                                  00000000
	01	ZX	90011358	1000		1	01.01.1800	31.12.9999	E			SPEC        IS PPS                                  00000000
	01	ZX	90011363	1000		1	01.01.1800	31.12.9999	C			SPEC        Zamìstnanecký portál                    00000000
	01	ZX	90011363	1000		1	01.01.1800	31.12.9999	D			SPEC        Mitarbeiterportal                       00000000
	01	ZX	90011363	1000		1	01.01.1800	31.12.9999	E			SPEC        Employee Portal                         00000000
	01	ZX	90011365	1000		1	01.01.1800	31.12.9999	C			SPEC        celosvìtovì                             00000000
	01	ZX	90011365	1000		1	01.01.1800	31.12.9999	D			SPEC        weltweit                                00000000
	01	ZX	90011365	1000		1	01.01.1800	31.12.9999	E			SPEC        worldwide                               00000000
	01	ZX	90011367	1000		1	01.01.1800	31.12.9999	C			SPEC        EMZ                                     00000000
